,glo_avg,dir_avg,diff_avg,lw_avg,par_avg,lux_avg,tp_sfc,humid,press,rain,ws_10m,wd_10m
0,-1.974,-0.204,-1.262,380.4,0.0,-0.001,19.78,91.4,903.24,0.0,1.413,295.1
1,-1.977,-0.204,-1.167,383.4,0.0,-0.001,19.83,91.4,903.24,0.0,1.389,299.9
2,-1.974,-0.204,-1.052,387.3,0.0,-0.001,19.83,91.4,903.24,0.0,1.337,300.7
3,-1.805,-0.184,-0.93,393.0,0.0,-0.001,19.88,91.5,903.31,0.0,1.301,301.7
4,-1.673,-0.02,-0.912,397.4,0.0,-0.001,19.78,91.5,903.31,0.0,1.107,305.1
5,-1.655,0.102,-0.912,400.3,0.0,0.0,19.83,91.6,903.37,0.0,1.083,307.7
6,-1.395,0.198,-0.912,401.7,0.0,-0.001,19.77,91.6,903.31,0.0,0.959,305.1
7,-1.367,0.204,-0.912,403.5,0.0,-0.001,19.86,91.6,903.31,0.0,0.9,296.5
8,-1.364,0.204,-0.912,405.0,0.0,-0.001,19.88,91.7,903.37,0.0,0.718,291.5
9,-1.362,0.204,-0.912,406.4,0.0,0.0,19.88,91.7,903.43,0.0,0.63,286.9
10,-1.296,0.204,-0.909,408.3,0.0,-0.001,19.91,91.7,903.55,0.0,0.544,285.4
11,-1.149,0.204,-0.8029999999999999,409.1,0.0,-0.001,19.85,91.6,903.49,0.0,0.6629999999999999,286.3
12,-1.0659999999999998,0.204,-0.644,408.0,-0.005,-0.002,19.88,91.5,903.49,0.0,0.643,285.9
13,-1.0659999999999998,0.204,-0.547,406.7,0.0,-0.001,19.78,91.4,903.55,0.0,0.723,287.8
14,-1.063,0.204,-0.547,408.4,0.0,-0.002,19.81,91.5,903.55,0.0,0.8270000000000001,294.1
15,-1.063,0.204,-0.547,408.3,0.0,-0.001,19.81,91.6,903.61,0.0,0.871,293.6
16,-1.063,0.204,-0.547,409.4,0.0,0.0,19.81,91.5,903.61,0.0,0.883,299.8
17,-1.063,0.204,-0.547,409.7,-0.005,-0.001,19.85,91.6,903.61,0.0,0.971,305.6
18,-1.063,0.249,-0.547,409.6,0.0,-0.001,19.85,91.6,903.61,0.0,0.91,315.6
19,-1.063,0.361,-0.547,410.2,0.0,-0.002,19.9,91.6,903.61,0.0,0.961,315.2
20,-1.06,0.5489999999999999,-0.547,410.5,0.0,-0.001,19.88,91.6,903.67,0.0,1.086,315.4
21,-1.063,0.613,-0.547,410.4,0.0,-0.001,19.85,91.7,903.67,0.0,1.055,318.7
22,-1.06,0.613,-0.547,409.2,0.0,-0.001,19.96,91.6,903.67,0.0,1.007,324.5
23,-1.063,0.613,-0.575,408.4,0.0,0.0,19.91,91.8,903.67,0.0,1.149,321.9
24,-1.063,0.613,-0.556,408.5,0.0,-0.002,19.9,91.6,903.67,0.0,1.287,319.9
25,-1.063,0.613,-0.547,407.5,0.0,-0.002,20.0,91.6,903.67,0.0,1.006,315.5
26,-1.063,0.613,-0.5529999999999999,405.9,0.0,-0.002,19.96,91.6,903.67,0.0,1.103,316.8
27,-1.063,0.613,-0.605,403.1,0.0,-0.001,19.98,91.6,903.67,0.0,0.988,314.2
28,-1.063,0.613,-0.705,402.4,0.0,0.0,20.03,91.6,903.73,0.0,1.139,316.0
29,-1.068,0.613,-0.769,403.1,0.0,0.0,20.01,91.6,903.73,0.0,1.06,309.2
30,-1.073,0.613,-0.7390000000000001,404.4,0.0,0.0,20.03,91.5,903.73,0.0,1.027,318.6
31,-1.091,0.613,-0.7809999999999999,405.1,0.0,-0.001,20.1,91.5,903.74,0.0,1.194,319.0
32,-1.0759999999999998,0.613,-0.7020000000000001,404.5,0.0,-0.001,20.1,91.5,903.74,0.0,1.024,321.1
33,-1.081,0.613,-0.733,403.5,0.0,0.0,20.16,91.5,903.8,0.0,1.106,320.4
34,-1.098,0.613,-0.72,402.5,-0.005,-0.001,20.05,91.4,903.79,0.0,1.031,318.3
35,-1.179,0.613,-0.754,401.4,0.0,-0.001,20.1,91.4,903.73,0.0,1.062,319.6
36,-1.306,0.613,-0.8420000000000001,399.6,0.0,-0.001,20.05,91.4,903.74,0.0,1.108,323.2
37,-1.364,0.613,-0.8909999999999999,400.0,0.0,-0.002,20.03,91.5,903.74,0.0,1.111,322.6
38,-1.364,0.5589999999999999,-0.9,401.0,0.005,-0.001,20.01,91.3,903.74,0.0,1.119,325.8
39,-1.367,0.555,-0.912,402.3,0.0,-0.002,20.05,91.4,903.74,0.0,1.079,327.2
40,-1.367,0.344,-0.912,403.2,0.0,-0.002,20.11,91.4,903.8,0.0,1.254,329.6
41,-1.364,0.204,-0.912,406.2,0.0,-0.002,20.08,91.4,903.8,0.0,1.148,328.3
42,-1.367,0.204,-0.912,406.5,0.0,-0.003,20.05,91.3,903.8,0.0,1.355,335.9
43,-1.362,0.204,-0.912,404.9,0.0,0.0,20.06,91.4,903.8,0.0,1.263,334.6
44,-1.357,0.204,-0.912,404.2,-0.005,-0.001,20.03,91.3,903.8,0.0,1.317,336.8
45,-1.367,0.204,-0.912,402.2,0.0,-0.001,20.01,91.4,903.8,0.0,1.216,343.8
46,-1.367,0.204,-0.912,399.8,0.0,-0.002,20.0,91.3,903.74,0.0,1.09,345.8
47,-1.367,0.204,-0.912,398.2,0.0,-0.001,20.03,91.4,903.74,0.0,1.169,346.6
48,-1.369,0.204,-0.912,396.8,0.0,-0.001,20.01,91.4,903.74,0.0,0.98,342.4
49,-1.43,0.198,-0.912,396.3,0.0,-0.001,20.01,91.4,903.68,0.0,0.8170000000000001,344.6
50,-1.635,0.146,-0.912,396.1,0.0,-0.002,20.03,91.5,903.74,0.0,0.825,337.6
51,-1.668,0.099,-0.912,395.9,0.0,-0.001,20.0,91.5,903.68,0.0,0.903,336.5
52,-1.67,0.109,-0.912,395.8,-0.005,0.0,19.97,91.4,903.74,0.0,0.96,332.9
53,-1.67,0.106,-0.912,395.5,-0.005,-0.002,20.05,91.5,903.74,0.0,0.711,326.9
54,-1.67,0.044,-0.912,395.3,0.0,-0.001,19.97,91.6,903.74,0.0,0.8270000000000001,338.1
55,-1.67,0.01,-0.912,395.9,0.0,-0.001,20.03,91.5,903.74,0.0,0.745,339.9
56,-1.67,0.024,-0.912,396.0,0.0,-0.001,20.0,91.7,903.81,0.0,0.601,335.3
57,-1.67,0.048,-0.912,396.0,0.0,-0.002,19.95,91.7,903.81,0.0,0.6920000000000001,328.9
58,-1.67,0.01,-0.912,395.8,0.0,-0.001,19.98,91.7,903.81,0.0,0.585,326.6
59,-1.67,0.075,-0.921,396.0,0.0,-0.003,19.93,91.8,903.81,0.0,0.5579999999999999,326.1
60,-1.67,0.106,-0.918,395.9,0.0,-0.001,19.93,91.7,903.81,0.0,0.757,323.7
61,-1.67,0.153,-0.93,396.0,0.0,-0.002,19.95,91.8,903.81,0.0,0.7829999999999999,316.3
62,-1.67,0.16,-0.924,396.0,-0.005,-0.002,19.98,91.7,903.81,0.0,0.7390000000000001,321.4
63,-1.67,0.146,-0.918,396.0,0.0,0.0,19.98,91.7,903.81,0.0,0.775,317.4
64,-1.67,0.177,-0.912,396.0,0.0,-0.001,19.92,91.8,903.81,0.0,0.6579999999999999,319.3
65,-1.67,0.204,-0.918,395.8,-0.005,-0.002,19.95,91.9,903.8,0.0,0.654,319.8
66,-1.67,0.201,-0.927,395.2,0.0,-0.001,19.95,91.9,903.81,0.0,0.7020000000000001,321.1
67,-1.67,0.204,-0.921,395.0,0.0,-0.001,19.93,91.9,903.81,0.0,0.7140000000000001,325.8
68,-1.67,0.201,-0.915,394.7,0.005,-0.001,20.02,91.9,903.75,0.0,0.639,326.4
69,-1.67,0.204,-0.918,394.7,0.0,-0.001,19.97,91.9,903.75,0.0,0.672,324.9
70,-1.67,0.204,-0.912,394.5,0.0,-0.002,19.9,91.9,903.81,0.0,0.657,327.6
71,-1.67,0.153,-0.912,394.7,0.0,-0.001,19.93,92.0,903.81,0.0,0.816,325.7
72,-1.67,0.1639999999999999,-0.912,395.0,0.0,-0.001,19.9,92.0,903.81,0.0,0.828,326.3
73,-1.67,0.136,-0.912,396.0,-0.005,-0.001,19.92,92.0,903.81,0.0,0.856,326.6
74,-1.67,0.15,-0.912,397.2,0.0,-0.001,19.95,92.0,903.81,0.0,0.946,323.5
75,-1.67,0.1669999999999999,-0.912,397.3,0.0,-0.001,19.9,92.0,903.87,0.0,0.982,317.9
76,-1.663,0.187,-0.912,396.7,0.0,-0.001,19.92,92.1,903.81,0.0,0.86,313.4
77,-1.625,0.204,-0.912,395.7,0.0,-0.001,19.92,92.2,903.87,0.0,0.8909999999999999,305.0
78,-1.622,0.204,-0.912,395.5,0.0,-0.001,19.9,92.2,903.87,0.0,0.97,307.7
79,-1.602,0.204,-0.912,395.5,0.0,-0.001,20.0,92.2,903.87,0.0,0.856,307.8
80,-1.529,0.204,-0.912,395.3,0.0,-0.001,19.95,92.2,903.93,0.0,0.8859999999999999,295.2
81,-1.496,0.204,-0.921,395.2,0.0,-0.001,20.02,92.2,903.87,0.0,0.97,312.3
82,-1.435,0.228,-0.933,395.2,0.0,-0.001,19.97,92.3,903.87,0.0,1.084,307.1
83,-1.4169999999999998,0.474,-0.952,395.4,-0.005,-0.002,19.93,92.3,903.87,0.0,1.4280000000000002,315.1
84,-1.4,0.606,-1.003,395.9,0.0,0.0,19.93,92.3,903.87,0.0,1.246,316.2
85,-1.43,0.613,-1.052,395.7,0.0,-0.001,19.97,92.4,903.87,0.0,1.144,320.2
86,-1.435,0.613,-1.028,395.2,0.0,-0.001,19.98,92.3,903.87,0.0,1.207,320.7
87,-1.445,0.613,-1.003,395.2,0.0,-0.001,20.02,92.4,903.87,0.0,1.306,319.3
88,-1.4280000000000002,0.613,-0.997,395.2,0.0,-0.002,20.02,92.3,903.87,0.0,1.266,315.8
89,-1.453,0.613,-1.052,395.1,0.0,-0.001,20.02,92.4,903.81,0.0,1.337,316.0
90,-1.4380000000000002,0.613,-1.07,395.1,0.0,-0.001,20.0,92.4,903.81,0.0,1.376,315.1
91,-1.42,0.613,-1.085,395.1,-0.005,-0.001,19.98,92.4,903.81,0.0,1.337,310.2
92,-1.422,0.613,-1.183,395.3,0.005,-0.001,20.05,92.4,903.81,0.0,1.499,307.0
93,-1.491,0.613,-1.24,395.3,0.0,0.0,20.1,92.4,903.75,0.0,1.578,299.8
94,-1.5519999999999998,0.613,-1.271,395.2,0.0,-0.001,20.11,92.4,903.75,0.0,1.666,304.7
95,-1.579,0.613,-1.274,395.1,0.0,-0.001,20.16,92.4,903.75,0.0,1.878,303.9
96,-1.633,0.613,-1.268,394.6,0.0,0.0,20.1,92.3,903.81,0.0,1.663,299.1
97,-1.6,0.613,-1.268,394.7,0.0,-0.001,20.11,92.3,903.81,0.0,1.938,301.5
98,-1.635,0.613,-1.274,394.7,0.0,-0.001,20.16,92.3,903.81,0.0,1.695,294.3
99,-1.64,0.613,-1.277,394.8,0.0,-0.002,20.07,92.4,903.87,0.0,1.7919999999999998,297.5
100,-1.655,0.528,-1.252,394.9,0.0,-0.001,20.15,92.2,903.87,0.0,1.492,292.7
101,-1.653,0.3989999999999999,-1.243,395.0,0.0,-0.001,20.11,92.2,903.87,0.0,1.354,290.6
102,-1.62,0.395,-1.234,395.1,0.0,-0.001,20.1,92.2,903.81,0.0,1.423,292.5
103,-1.4980000000000002,0.412,-1.216,395.5,0.0,-0.001,20.1,92.2,903.81,0.0,1.6740000000000002,294.9
