data,maxima,nino1_2,nino3,nino4,nino3_4,altantico_norte,altantico_sul,atlantico_tropical,pressao_darwin,pressao_tahiti,prp_xingu-al01,prp_xingu-al02,prp_xingu-al03,prp_xingu-al04,prp_xingu-al05,prp_xingu-al06,prp_xingu-al07,prp_xingu-al08,prp_xingu-al09
1979-01,560,24.97,25.39,28.38,26.48,25.95,25.31,27.51,1006,1009.6,471.6,430.1,392.9,353.6,451.1,342.7,415.3,286.9,292.9
1979-02,750,25.74,26.17,28.21,26.59,25.72,26.10,27.70,1006.9,1012.9,338.0,322.9,301.3,379.2,404.4,395.2,205.8,379.5,325.2
1979-03,776,26.07,27.27,28.27,27.41,25.67,26.48,28.15,1007.9,1011.3,216.9,181.5,142.9,177.0,197.5,264.8,160.6,203.2,231.8
1979-04,753,25.63,27.76,28.51,27.93,26.16,26.66,28.47,1009.7,1011.4,75.2,92.9,105.3,116.4,160.1,151.6,207.5,158.7,150.4
1979-05,583,24.52,27.34,28.76,27.88,26.65,25.92,28.32,1011.2,1013.3,56.2,54.5,24.0,33.1,46.5,85.5,70.2,118.4,152.4
1979-06,464,23.29,26.63,28.74,27.59,27.08,24.82,27.94,1012.6,1014.5,0.2,0.0,0.0,0.0,0.0,4.2,0.1,3.0,47.0
1979-07,353,21.92,25.66,28.67,27.05,27.25,23.71,27.25,1011.1,1014.3,1.2,0.5,0.1,0.2,1.4,10.5,1.5,26.1,20.4
1979-08,296,21.08,25.30,28.49,26.85,27.67,23.00,26.94,1013.3,1014.2,31.1,38.3,40.6,59.3,71.9,52.4,86.3,68.6,74.1
1979-09,283,21.01,25.60,28.66,27.14,28.03,23.15,27.18,1011.7,1014.3,49.2,67.0,48.9,73.1,119.2,122.6,166.4,125.7,115.5
1979-10,284,21.40,25.50,28.73,26.92,28.01,23.30,27.31,1011,1013.5,69.4,89.9,47.6,94.6,126.9,134.9,161.4,138.5,88.6
1979-11,348,21.77,25.64,28.91,27.10,27.58,23.87,27.53,1009.1,1011.3,260.7,214.2,201.3,155.0,269.5,259.6,244.4,204.9,154.2
1979-12,388,22.81,25.73,28.75,27.18,26.80,24.37,27.58,1008.5,1010.6,305.7,268.1,214.3,268.6,309.1,220.5,213.7,178.7,200.2
1980-01,559,24.57,26.18,28.62,27.15,26.27,25.22,27.68,1005.9,1011,312.4,395.5,296.5,429.7,483.8,372.7,222.5,342.0,306.9
